nohup: ignoring input
/home/nlsde/RLmodel/PR-v2/adachain/online-d/model is already exist!
=========================== finish pre train! ===========================
EP:189 reward:743.3345603998782 avg_reward:705.9555833569597 time_step189
EP:190 reward:692.3855682465513 avg_reward:705.6561784002406 time_step190
EP:191 reward:676.5574957348675 avg_reward:705.361189353637 time_step191
EP:192 reward:692.0441228592132 avg_reward:704.9760233051882 time_step192
EP:193 reward:692.1106949232147 avg_reward:704.9728612448406 time_step193
EP:194 reward:743.259722030694 avg_reward:705.1003795188484 time_step194
EP:195 reward:654.0782277017333 avg_reward:704.6438092254855 time_step195
EP:196 reward:654.1926595702225 avg_reward:704.6428550347042 time_step196
EP:197 reward:654.1926595702225 avg_reward:703.9680880103483 time_step197
EP:198 reward:692.1947392252553 avg_reward:703.9680880103485 time_step198
EP:199 reward:730.3193248229641 avg_reward:704.5056852528319 time_step199
EP:200 reward:692.1947392252553 avg_reward:704.2791464770405 time_step200
EP:201 reward:692.20884971394 avg_reward:704.291545899484 time_step201
EP:202 reward:692.20884971394 avg_reward:704.2998605580351 time_step202
EP:203 reward:692.20884971394 avg_reward:704.1617783580842 time_step203
EP:204 reward:692.20884971394 avg_reward:703.8337122243346 time_step204
EP:205 reward:692.20884971394 avg_reward:703.4514138176074 time_step205
EP:206 reward:692.20884971394 avg_reward:702.9404904877185 time_step206
EP:207 reward:692.20884971394 avg_reward:702.645477396039 time_step207
EP:208 reward:692.20884971394 avg_reward:702.6442683853222 time_step208
EP:209 reward:692.20884971394 avg_reward:702.0222402262592 time_step209
EP:210 reward:692.20884971394 avg_reward:702.0219695805796 time_step210
EP:211 reward:692.20884971394 avg_reward:701.046222222466 time_step211
EP:212 reward:692.20884971394 avg_reward:700.9705547446882 time_step212
EP:213 reward:692.20884971394 avg_reward:700.4600460215207 time_step213
EP:214 reward:692.20884971394 avg_reward:699.8371150895435 time_step214
EP:215 reward:692.20884971394 avg_reward:699.1557002323299 time_step215
EP:216 reward:692.20884971394 avg_reward:699.1441181618145 time_step216
EP:217 reward:692.20884971394 avg_reward:699.4515149078833 time_step217
EP:218 reward:692.20884971394 avg_reward:699.6065154993017 time_step218
EP:219 reward:692.20884971394 avg_reward:699.9179238350459 time_step219
EP:220 reward:692.20884971394 avg_reward:699.842242066226 time_step220
EP:221 reward:692.20884971394 avg_reward:700.1499458654237 time_step221
EP:222 reward:692.20884971394 avg_reward:700.0118636654729 time_step222
EP:223 reward:692.20884971394 avg_reward:699.8733881586601 time_step223
EP:224 reward:692.20884971394 avg_reward:699.6478584811703 time_step224
EP:225 reward:692.20884971394 avg_reward:699.6653367049618 time_step225
EP:226 reward:692.20884971394 avg_reward:699.6662760397411 time_step226
EP:227 reward:692.20884971394 avg_reward:699.6837542635326 time_step227
EP:228 reward:692.20884971394 avg_reward:699.6845557312274 time_step228
EP:229 reward:692.20884971394 avg_reward:699.6083011455016 time_step229
EP:230 reward:692.20884971394 avg_reward:699.6077536840262 time_step230
EP:231 reward:692.20884971394 avg_reward:699.9869979036124 time_step231
EP:232 reward:692.20884971394 avg_reward:699.9864504421369 time_step232
EP:233 reward:692.20884971394 avg_reward:699.9864672559154 time_step233
EP:234 reward:692.20884971394 avg_reward:700.1428819679355 time_step234
EP:235 reward:692.20884971394 avg_reward:700.1430986336866 time_step235
EP:236 reward:692.20884971394 avg_reward:700.2990518381598 time_step236
EP:237 reward:692.20884971394 avg_reward:700.3788600966611 time_step237
EP:238 reward:692.20884971394 avg_reward:699.9969631394214 time_step238
EP:239 reward:692.20884971394 avg_reward:700.3762073590077 time_step239
EP:240 reward:692.20884971394 avg_reward:700.5325057730594 time_step240
EP:241 reward:692.20884971394 avg_reward:700.4569798145249 time_step241
EP:242 reward:692.20884971394 avg_reward:700.1618472171639 time_step242
EP:243 reward:692.20884971394 avg_reward:699.936317539674 time_step243
EP:244 reward:692.20884971394 avg_reward:700.0090785818816 time_step244
EP:245 reward:692.20884971394 avg_reward:700.0095662812586 time_step245
EP:246 reward:692.20884971394 avg_reward:699.5877262837442 time_step246
EP:247 reward:692.20884971394 avg_reward:699.1985019229464 time_step247
EP:248 reward:692.20884971394 avg_reward:699.0711842816808 time_step248
EP:249 reward:692.20884971394 avg_reward:699.056146231588 time_step249
EP:250 reward:692.20884971394 avg_reward:699.1289072737957 time_step250
EP:251 reward:692.20884971394 avg_reward:699.1289294814567 time_step251
EP:252 reward:692.20884971394 avg_reward:699.21492677155 time_step252
EP:253 reward:692.20884971394 avg_reward:698.8865888102257 time_step253
EP:254 reward:692.20884971394 avg_reward:698.5923628761291 time_step254
EP:255 reward:692.20884971394 avg_reward:697.528307116384 time_step255
EP:256 reward:692.20884971394 avg_reward:697.4945393878754 time_step256
EP:257 reward:692.20884971394 avg_reward:697.5673004300833 time_step257
EP:258 reward:692.20884971394 avg_reward:697.1837816501816 time_step258
EP:259 reward:692.20884971394 avg_reward:696.2080342920681 time_step259
EP:260 reward:692.20884971394 avg_reward:696.2939410027085 time_step260
EP:261 reward:692.20884971394 avg_reward:696.675957035963 time_step261
EP:262 reward:692.20884971394 avg_reward:696.2523620878151 time_step262
EP:263 reward:692.20884971394 avg_reward:696.3385498326455 time_step263
EP:264 reward:692.20884971394 avg_reward:695.9565080054199 time_step264
EP:265 reward:692.20884971394 avg_reward:696.0322223860884 time_step265
EP:266 reward:692.20884971394 avg_reward:696.1063169853392 time_step266
EP:267 reward:692.20884971394 avg_reward:695.7227982054376 time_step267
EP:268 reward:692.20884971394 avg_reward:695.4973106533696 time_step268
EP:269 reward:692.20884971394 avg_reward:695.7300474165885 time_step269
EP:270 reward:692.20884971394 avg_reward:695.7299818586043 time_step270
EP:271 reward:692.20884971394 avg_reward:695.7834484528861 time_step271
EP:272 reward:692.20884971394 avg_reward:695.0725966860792 time_step272
EP:273 reward:692.20884971394 avg_reward:695.4537622902417 time_step273
EP:274 reward:692.20884971394 avg_reward:695.375087628084 time_step274
EP:275 reward:692.20884971394 avg_reward:695.6437907080502 time_step275
EP:276 reward:692.20884971394 avg_reward:695.2138048905408 time_step276
EP:277 reward:692.20884971394 avg_reward:695.2312831143322 time_step277
EP:278 reward:692.20884971394 avg_reward:695.317937702393 time_step278
EP:279 reward:692.20884971394 avg_reward:695.3189192503 time_step279
EP:280 reward:692.20884971394 avg_reward:695.4751095010256 time_step280
EP:281 reward:692.20884971394 avg_reward:694.9641861711367 time_step281
EP:282 reward:692.20884971394 avg_reward:694.3414447050018 time_step282
EP:283 reward:692.20884971394 avg_reward:693.2782578626396 time_step283
EP:284 reward:692.20884971394 avg_reward:693.2779872169599 time_step284
EP:285 reward:692.20884971394 avg_reward:693.5856910161576 time_step285
EP:286 reward:692.20884971394 avg_reward:693.6716212484738 time_step286
