nohup: ignoring input
/home/nlsde/RLmodel/PR-v2/adachain/online/model is already exist!
=========================== finish pre train! ===========================
EP:327 reward:811.7239630204706 avg_reward:737.618750522419 time_step327
EP:328 reward:715.8010990165378 avg_reward:737.1057654738063 time_step328
EP:329 reward:811.7239630204706 avg_reward:737.1066445201676 time_step329
EP:330 reward:700.8314932664213 avg_reward:737.1505205558025 time_step330
EP:331 reward:724.4912061355151 avg_reward:736.2792414756705 time_step331
EP:332 reward:734.9226423775475 avg_reward:735.5121073156026 time_step332
EP:333 reward:811.5910481593411 avg_reward:735.5111487267412 time_step333
EP:334 reward:654.2337943338746 avg_reward:735.1393366599044 time_step334
EP:335 reward:811.6536926577678 avg_reward:736.6947412596496 time_step335
EP:336 reward:811.6191141487182 avg_reward:737.8506616705336 time_step336
EP:337 reward:696.4708916245567 avg_reward:737.8506616705334 time_step337
EP:338 reward:696.4708916245567 avg_reward:737.6308545312717 time_step338
EP:339 reward:696.4708916245567 avg_reward:737.4374355166675 time_step339
EP:340 reward:694.2038802039574 avg_reward:736.2622346885022 time_step340
EP:341 reward:811.7239630204706 avg_reward:737.1288426901812 time_step341
EP:342 reward:704.4542080126805 avg_reward:736.9885989054665 time_step342
EP:343 reward:663.3733751005957 avg_reward:736.9885989054665 time_step343
EP:344 reward:690.7592697501324 avg_reward:737.3531915047967 time_step344
EP:345 reward:811.7400214428002 avg_reward:738.7959364362459 time_step345
EP:346 reward:691.2500497839935 avg_reward:739.1473046072534 time_step346
EP:347 reward:811.7239630204706 avg_reward:739.1486337558649 time_step347
EP:348 reward:715.8010990165378 avg_reward:739.7643068026914 time_step348
EP:349 reward:811.7239630204706 avg_reward:739.7650095063183 time_step349
EP:350 reward:715.8010990165378 avg_reward:738.8065283054364 time_step350
EP:351 reward:811.7239630204706 avg_reward:739.7392518801338 time_step351
EP:352 reward:715.8330145071345 avg_reward:740.2638482741991 time_step352
EP:353 reward:677.8637848554887 avg_reward:739.9691930461947 time_step353
EP:354 reward:734.9226423775475 avg_reward:740.6846857189641 time_step354
EP:355 reward:811.5910481593411 avg_reward:740.8146686326221 time_step355
EP:356 reward:654.2337943338746 avg_reward:740.4149677739214 time_step356
EP:357 reward:811.6536926577678 avg_reward:741.2987464064755 time_step357
EP:358 reward:696.4962280578382 avg_reward:741.1055807562042 time_step358
EP:359 reward:654.2337943338746 avg_reward:739.530679069338 time_step359
EP:360 reward:811.6536926577678 avg_reward:741.0860836690835 time_step360
EP:361 reward:758.5508566422208 avg_reward:741.7111114550216 time_step361
EP:362 reward:811.6492191047276 avg_reward:742.6430875905614 time_step362
EP:363 reward:811.6191141487182 avg_reward:744.21694078871 time_step363
EP:364 reward:811.7239630204706 avg_reward:744.217643492337 time_step364
EP:365 reward:715.8010990165378 avg_reward:743.2592938986589 time_step365
EP:366 reward:811.7239630204706 avg_reward:744.0700601861693 time_step366
EP:367 reward:656.5562349533084 avg_reward:744.0018887846963 time_step367
EP:368 reward:696.0480780483989 avg_reward:744.0505391836948 time_step368
EP:369 reward:811.7239630204706 avg_reward:745.22574001186 time_step369
EP:370 reward:704.4542080126805 avg_reward:745.3100600811173 time_step370
EP:371 reward:715.8127930849672 avg_reward:745.5036896444941 time_step371
EP:372 reward:811.7239630204706 avg_reward:746.4364132191916 time_step372
EP:373 reward:656.1132326832314 avg_reward:745.8394176151742 time_step373
EP:374 reward:696.0480780483989 avg_reward:744.6826587654534 time_step374
EP:375 reward:758.5508566422208 avg_reward:745.1101563417102 time_step375
