nohup: ignoring input
/home/nlsde/RLmodel/PR-v2/adachain/online-c/model create successfully!
=========================== finish pre train! ===========================
EP:202 reward:750.6626149167406 avg_reward:702.1208453030583 time_step202
EP:203 reward:674.8471113924488 avg_reward:701.8663808294476 time_step203
EP:204 reward:750.6626149167406 avg_reward:702.6244921922932 time_step204
EP:205 reward:674.8471113924488 avg_reward:702.248433085023 time_step205
EP:206 reward:750.6626149167406 avg_reward:702.2480430043032 time_step206
EP:207 reward:674.8471113924488 avg_reward:702.2477365552362 time_step207
EP:208 reward:750.6626149167406 avg_reward:702.8145351808743 time_step208
EP:209 reward:750.7016229887122 avg_reward:703.3832397401118 time_step209
EP:210 reward:674.7805788814301 avg_reward:703.381204225035 time_step210
EP:211 reward:750.6626149167406 avg_reward:703.3808141443152 time_step211
EP:212 reward:750.7016229887122 avg_reward:704.1377077874234 time_step212
EP:213 reward:720.7095311522061 avg_reward:704.5956333945601 time_step213
EP:214 reward:741.9104314850664 avg_reward:704.6574341108613 time_step214
EP:215 reward:741.9104314850664 avg_reward:705.1371780044253 time_step215
EP:216 reward:741.9104314850664 avg_reward:705.6391345028572 time_step216
EP:217 reward:741.9104314850664 avg_reward:706.3089942874748 time_step217
EP:218 reward:741.9104314850664 avg_reward:706.9793680392905 time_step218
EP:219 reward:741.9104314850664 avg_reward:707.650182996861 time_step219
EP:220 reward:741.9104314850664 avg_reward:707.6508054389141 time_step220
EP:221 reward:741.9104314850664 avg_reward:707.650805438914 time_step221
EP:222 reward:741.9104314850664 avg_reward:708.3213949674429 time_step222
EP:223 reward:741.9104314850664 avg_reward:708.9925633860053 time_step223
EP:224 reward:741.9104314850664 avg_reward:709.4764671613672 time_step224
EP:225 reward:741.9104314850664 avg_reward:710.1468524854931 time_step225
EP:226 reward:741.9104314850664 avg_reward:710.4414265791492 time_step226
EP:227 reward:741.9104314850664 avg_reward:711.1125949977114 time_step227
EP:228 reward:741.9104314850664 avg_reward:711.5964987730736 time_step228
EP:229 reward:741.9104314850664 avg_reward:712.2668255249326 time_step229
EP:230 reward:741.9104314850664 avg_reward:712.9380113443834 time_step230
EP:231 reward:741.9104314850664 avg_reward:713.2325854380393 time_step231
EP:232 reward:741.9104314850664 avg_reward:713.7165416340123 time_step232
EP:233 reward:741.9104314850664 avg_reward:714.3872471157124 time_step233
EP:234 reward:741.9104314850664 avg_reward:714.4490478320134 time_step234
EP:235 reward:741.9104314850664 avg_reward:714.9330205316443 time_step235
EP:236 reward:741.9104314850664 avg_reward:715.0506812256627 time_step236
EP:237 reward:741.9104314850664 avg_reward:715.7210079775218 time_step237
EP:238 reward:741.9104314850664 avg_reward:716.200284768843 time_step238
EP:239 reward:741.9104314850664 avg_reward:716.6794198723644 time_step239
EP:240 reward:741.9104314850664 avg_reward:717.3491623594604 time_step240
EP:241 reward:741.9104314850664 avg_reward:717.828836169862 time_step241
EP:242 reward:741.9104314850664 avg_reward:718.3308245801278 time_step242
EP:243 reward:741.9104314850664 avg_reward:718.6253986737838 time_step243
EP:244 reward:741.9104314850664 avg_reward:719.1105103630999 time_step244
EP:245 reward:741.9104314850664 avg_reward:719.7808481394164 time_step245
EP:246 reward:741.9104314850664 avg_reward:719.7602693069861 time_step246
EP:247 reward:741.9104314850664 avg_reward:719.6723573919496 time_step247
EP:248 reward:741.9104314850664 avg_reward:720.1757076412323 time_step248
EP:249 reward:741.9104314850664 avg_reward:720.0873872633124 time_step249
