nohup: ignoring input
=========================== finish pre train! ===========================
EP:147 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step7350
EP:148 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step7400
EP:149 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step7450
EP:150 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step7500
EP:151 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step7550
EP:152 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step7600
EP:153 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step7650
EP:154 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step7700
EP:155 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step7750
EP:156 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step7800
EP:157 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step7850
EP:158 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step7900
EP:159 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step7950
EP:160 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step8000
EP:161 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step8050
EP:162 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step8100
EP:163 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step8150
EP:164 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step8200
EP:165 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step8250
EP:166 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step8300
EP:167 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step8350
EP:168 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step8400
EP:169 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step8450
EP:170 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step8500
EP:171 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step8550
EP:172 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step8600
EP:173 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step8650
EP:174 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step8700
EP:175 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step8750
EP:176 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step8800
EP:177 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step8850
EP:178 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step8900
EP:179 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step8950
EP:180 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step9000
EP:181 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step9050
EP:182 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step9100
EP:183 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step9150
EP:184 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step9200
EP:185 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step9250
EP:186 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step9300
EP:187 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step9350
EP:188 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step9400
EP:189 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step9450
EP:190 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step9500
EP:191 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step9550
EP:192 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step9600
EP:193 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step9650
EP:194 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step9700
EP:195 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step9750
EP:196 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step9800
EP:197 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step9850
EP:198 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step9900
EP:199 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step9950
EP:200 reward:1423.4847632907647 avg_reward:1423.4847632907642 time_step10000
